category_id,category,category_order,subcategory_id,subcategory,subcategory_order
screwdrivers,Screwdrivers,30,screwdrivers__ratcheting-and-multi-bit,Ratcheting & multi-bit,8
screwdrivers,Screwdrivers,30,screwdrivers__nut-drivers,Nut drivers,9
screwdrivers,Screwdrivers,30,screwdrivers__offset-stubby-and-right-angle,"Offset, stubby & right-angle",10
screwdrivers,Screwdrivers,30,screwdrivers__bit-sets-and-bit-holders,Bit sets & bit holders,11
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__freestanding-shelving-units,Freestanding shelving units,1
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__wall-mounted-shelving,Wall-mounted shelving,2
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__heavy-duty-racking-and-pallet-rack,Heavy-duty racking & pallet rack,3
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__overhead-and-ceiling-racks,Overhead & ceiling racks,4
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__wall-systems,"Wall systems (pegboard, slatwall, French cleat)",5
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__base-and-wall-cabinets,Base & wall cabinets,6
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__lockers-and-storage-cabinets,Lockers & storage cabinets,7
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__countertops-and-work-surfaces,Countertops & work surfaces,8
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__drawer-slides-and-cabinet-hardware,Drawer slides & cabinet hardware,9
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__brackets-standards-and-supports,"Brackets, standards & supports",10
shelves-and-cabinets,Shelves & Cabinets,31,shelves-and-cabinets__hooks-and-hangers,Hooks & hangers,11
sporting,Sporting,32,sporting__hunting-and-shooting,Hunting & shooting,1
sporting,Sporting,32,sporting__archery,Archery,2
sporting,Sporting,32,sporting__camping-and-backpacking,Camping & backpacking,3
sporting,Sporting,32,sporting__water-sports-and-paddling,Water sports & paddling,4
sporting,Sporting,32,sporting__winter-sports,Winter sports,5
sporting,Sporting,32,sporting__team-and-field-sports,Team & field sports,6
sporting,Sporting,32,sporting__optics,"Optics (binoculars, scopes, rangefinders)",7
sporting,Sporting,32,sporting__game-processing,Game processing,8
sporting,Sporting,32,sporting__gear-storage-and-transport,Gear storage & transport,9
storage,Storage,33,storage__tool-boxes-and-chests,Tool boxes & chests,1
storage,Storage,33,storage__rolling-tool-cabinets-and-carts,Rolling tool cabinets & carts,2
storage,Storage,33,storage__small-parts-bins-and-organizers,Small-parts bins & organizers,3
storage,Storage,33,storage__tool-bags-pouches-and-belts,"Tool bags, pouches & belts",4
storage,Storage,33,storage__totes-and-storage-bins,Totes & storage bins,5
storage,Storage,33,storage__drawer-liners-and-foam-inserts,Drawer liners & foam inserts,6
storage,Storage,33,storage__safes-and-locking-storage,Safes & locking storage,7
storage,Storage,33,storage__seasonal-and-long-term-storage,Seasonal & long-term storage,8
tables-and-benches,Tables & Benches,34,tables-and-benches__workbenches,Workbenches,1
tables-and-benches,Tables & Benches,34,tables-and-benches__assembly-and-outfeed-tables,Assembly & outfeed tables,2
tables-and-benches,Tables & Benches,34,tables-and-benches__miter-and-router-tables,Miter & router tables,3
tables-and-benches,Tables & Benches,34,tables-and-benches__saw-horses-and-portable-supports,Saw horses & portable supports,4
tables-and-benches,Tables & Benches,34,tables-and-benches__tool-stands-and-mobile-bases,Tool stands & mobile bases,5
tables-and-benches,Tables & Benches,34,tables-and-benches__bench-tops-and-hardware,Bench tops & hardware,6
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__mig-welders,MIG welders,1
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__tig-welders,TIG welders,2
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__stick-and-multi-process-welders,Stick & multi-process welders,3
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__plasma-cutters,Plasma cutters,4
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__oxy-fuel-torches-and-gas,Oxy-fuel torches & gas,5
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__spot-and-stud-welding,Spot & stud welding,6
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__brazing-and-metal-soldering,Brazing & metal soldering,7
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__sheet-metal-brakes-and-rollers,Sheet metal brakes & rollers,8
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__shears-and-nibblers,Shears & nibblers,9
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__punches-dimple-dies-and-english-wheels,"Punches, dimple dies & English wheels",10
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__welding-tables-and-positioners,Welding tables & positioners,11
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__welding-clamps-and-magnets,Welding clamps & magnets,12
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__fume-extraction-and-screens,Fume extraction & screens,13
welding-and-metal-fab,Welding & Metal Fab,35,welding-and-metal-fab__welding-consumables,"Welding consumables (rod, wire, gas)",14
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__chisels-and-carving-tools,Chisels & carving tools,1
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__hand-planes-and-spokeshaves,Hand planes & spokeshaves,2
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__scrapers-rasps-and-files,"Scrapers, rasps & files",3
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__joinery-systems,"Joinery systems (dowel, pocket hole, biscuit, domino)",4
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__wood-turning-and-lathe-tools,Wood turning & lathe tools,5
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__wood-carving-and-whittling,Wood carving & whittling,6
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__wood-burning-and-pyrography,Wood burning & pyrography,7
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__furniture-making-and-cabinetmaking,Furniture making & cabinetmaking,8
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__veneering-and-inlay,Veneering & inlay,9
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__doweling-plugs-and-joinery-hardware,"Doweling, plugs & joinery hardware",10
wood-and-carpentry,Wood & Carpentry,36,wood-and-carpentry__sharpening-stones-jigs-and-strops,"Sharpening stones, jigs & strops",11
wrenches,Wrenches,37,wrenches__combination-open-end-and-box-end,"Combination, open-end & box-end",1
wrenches,Wrenches,37,wrenches__adjustable,Adjustable,2
wrenches,Wrenches,37,wrenches__sockets-and-ratchets,Sockets & ratchets,3
wrenches,Wrenches,37,wrenches__extensions-adapters-and-universal-joints,"Extensions, adapters & universal joints",4
wrenches,Wrenches,37,wrenches__breaker-bars-and-speed-handles,Breaker bars & speed handles,5
wrenches,Wrenches,37,wrenches__impact-sockets-and-accessories,Impact sockets & accessories,6
wrenches,Wrenches,37,wrenches__torque-wrenches-and-multipliers,Torque wrenches & multipliers,7
wrenches,Wrenches,37,wrenches__hex-and-torx-keys,Hex & Torx keys,8
wrenches,Wrenches,37,wrenches__line-flare-nut-and-specialty,"Line, flare nut & specialty",9
wrenches,Wrenches,37,wrenches__spanner-and-pin-wrenches,Spanner & pin wrenches,10
wrenches,Wrenches,37,wrenches__strap-and-filter-wrenches,Strap & filter wrenches,11
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__bar-and-pipe-clamps,Bar & pipe clamps,1
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__spring-c-and-f-clamps,"Spring, C & F clamps",2
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__band-strap-and-corner-clamps,"Band, strap & corner clamps",3
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__bench-vises,Bench vises,4
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__bench-dogs-holdfasts-and-accessories,"Bench dogs, holdfasts & accessories",5
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__toggle-hold-down-clamps,Toggle & hold-down clamps,6
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__jigs-fixtures,Jigs & fixtures,7
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__magnetic-bases-holders,Magnetic bases & holders,8
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__work-supports-roller-stands,Work supports & roller stands,9
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__grips-suction-cups-panel-carriers,"Grips, suction cups & panel carriers",10
holding-and-fixturing,Holding & Fixturing,38,holding-and-fixturing__third-hand-parts-holders,Third hand & parts holders,11
